Synonyms	Symbol	Chromosome
SLS	ALDH3A2	17
ABCD2	ABCD2	12
ABC39	ABCD2	12
ALDL1	ABCD2	12
ALDR	ABCD2	12
ALDRP	ABCD2	12
hALDR	ABCD2	12
ALDOA	ALDOA	16
ALDA	ALDOA	16
GSD12	ALDOA	16
HEL-S-87p	ALDOA	16
ALDOAP2	ALDOAP2	10
-	ALDOAP2	10
ALDOB	ALDOB	9
ALDB	ALDOB	9
ALDO2	ALDOB	9
ALDOC	ALDOC	17
ALDC	ALDOC	17
AKR1B1	AKR1B1	7
ADR	AKR1B1	7
ALDR1	AKR1B1	7
ALR2	AKR1B1	7
AR	AKR1B1	7
AKR1B1P2	AKR1B1P2	3
ALDRP	AKR1B1P2	3
ALK	ALK	2
CD246	ALK	2
NBLST3	ALK	2
ALOX12	ALOX12	17
12-LOX	ALOX12	17
12S-LOX	ALOX12	17
LOG12	ALOX12	17
ALOX5	ALOX5	10
5-LO	ALOX5	10
5-LOX	ALOX5	10
5LPG	ALOX5	10
LOG5	ALOX5	10
ALOX5AP	ALOX5AP	13
FLAP	ALOX5AP	13
ALOX12B	ALOX12B	17
12R-LOX	ALOX12B	17
ARCI2	ALOX12B	17
ALOX12P1	ALOX12P1	17
ALOX12P	ALOX12P1	17
ALOX12P2	ALOX12P2	17
ALOX12E	ALOX12P2	17
ALOX15	ALOX15	17
12-LOX	ALOX15	17
15-LOX-1	ALOX15	17
15LOX-1	ALOX15	17
ALOX15B	ALOX15B	17
15-LOX-2	ALOX15B	17
ALPI	ALPI	2
IAP	ALPI	2
ALPL	ALPL	1
AP-TNAP	ALPL	1
APTNAP	ALPL	1
HOPS	ALPL	1
TNAP	ALPL	1
TNSALP	ALPL	1
ALPP	ALPP	2
ALP	ALPP	2
PALP	ALPP	2
PLAP	ALPP	2
PLAP-1	ALPP	2
ALPPL2	ALPPL2	2
ALPG	ALPPL2	2
ALPPL	ALPPL2	2
GCAP	ALPPL2	2
ALS3	ALS3	18
ALS6	ALS3	18
ALS5	ALS5	15
-	ALS5	15
ALX3	ALX3	1
FND	ALX3	1
FND1	ALX3	1
AMBN	AMBN	4
AI1F	AMBN	4
AMBP	AMBP	9
A1M	AMBP	9
EDC1	AMBP	9
HCP	AMBP	9
HI30	AMBP	9
IATIL	AMBP	9
ITI	AMBP	9
ITIL	AMBP	9
ITILC	AMBP	9
UTI	AMBP	9
AMCN	AMCN	5
AMC	AMCN	5
AMC1	AMCN	5
AMCN1	AMCN	5
AMD1	AMD1	6
ADOMETDC	AMD1	6
AMD	AMD1	6
SAMDC	AMD1	6
